timestamp,zona,placa,senyal,valor,unit,type
2026-04-28 22:43:23,PEDALERA,Sensors,Accel Ref,48.98,%,Dinàmica
2026-04-28 22:43:23,PEDALERA,Sensors,Accel Aux,13.27,%,Dinàmica
2026-04-28 22:43:23,PEDALERA,Sensors,Pressió Fre,9.3,bar,Dinàmica
2026-04-28 22:43:23,PEDALERA,APPS,Accel Impty,54.96,-,temperatura
2026-04-28 22:43:23,PEDALERA,SDC,BOTS,45.28,-,SDC
2026-04-28 22:43:23,COCKPIT,Sensors,Vel D,22.03,Km/h,Dinàmica
2026-04-28 22:43:23,COCKPIT,Sensors,Vel E,12.73,Km/h,Dinàmica
2026-04-28 22:43:23,COCKPIT,Sensors,Direcció,14.03,º,temperatura
2026-04-28 22:43:23,COCKPIT,Sensors,Susp D,59.63,%,temperatura
2026-04-28 22:43:23,COCKPIT,Sensors,Susp E,31.15,%,temperatura
2026-04-28 22:43:23,COCKPIT,R2D,Botó R2D,379.41,-,voltages
2026-04-28 22:43:23,COCKPIT,R2D,Estat Fre,60.1,-,temperatura
2026-04-28 22:43:23,COCKPIT,R2D,Estat TS,15.47,-,temperatura
2026-04-28 22:43:23,COCKPIT,Dashboard,Boto Pre,445.28,-,voltages
2026-04-28 22:43:23,COCKPIT,Dashboard,Boto Mod,68.55,-,temperatura
2026-04-28 22:43:23,COCKPIT,Dashboard,SW refri,30.84,-,temperatura
2026-04-28 22:43:23,COCKPIT,SDC,Inertia SW,0.12,-,SDC
2026-04-28 22:43:23,COCKPIT,SDC,SDB dash,1.01,-,SDC
2026-04-28 22:43:23,ACCUMULATOR,SDC Reset,SDC BMS,20.6,,SDC
2026-04-28 22:43:23,ACCUMULATOR,SDC Reset,SDC IMD,12.63,,SDC
2026-04-28 22:43:23,ACCUMULATOR,TSAL Green,TSAL G State,1,,voltages
2026-04-28 22:43:23,ACCUMULATOR,TSAL Green,TSAL G Latch,257.54,,voltages
2026-04-28 22:43:23,ACCUMULATOR,TSAL Green,TSAL G Plaus.,309.08,,voltages
2026-04-28 22:43:23,ACCUMULATOR,Tractive System,AIR + State,424.92,,voltages
2026-04-28 22:43:23,ACCUMULATOR,Tractive System,AIR - State,400.84,,voltages
2026-04-28 22:43:23,ACCUMULATOR,Tractive System,AIR Pre State,375.73,,voltages
2026-04-28 22:43:23,ACCUMULATOR,Placa Central 2,Volt_Motor,260.84,,voltages
2026-04-28 22:43:23,HVB,TSAL Red,TSAL R State,1,,seguretat
2026-04-28 22:43:23,HVB,TSAL Red,Temp_Bateria,12.34,,temperatura
2026-04-28 22:43:23,HVB,Placa Posterior Dreta,Volt_Bateria,13.78,,voltages
2026-04-28 22:43:23,LVRB,Placa Darrera,Volt_Motor,374.24,,voltages
2026-04-28 22:43:23,LVRB,Placa Darrera,Temp_Motor,61.44,,temperatura
2026-04-28 22:43:23,LVRB,Placa Darrera,Pressio_Oli,0.69,,seguretat
2026-04-28 22:43:23,LVRB,Placa Auxiliar,Interruptor_Estop,1.22,,seguretat
2026-04-28 22:43:24,PEDALERA,Sensors,Accel Ref,20.32,%,Dinàmica
2026-04-28 22:43:24,PEDALERA,Sensors,Accel Aux,11.96,%,Dinàmica
2026-04-28 22:43:24,PEDALERA,Sensors,Pressió Fre,15.86,bar,Dinàmica
2026-04-28 22:43:24,PEDALERA,APPS,Accel Impty,65.94,-,temperatura
2026-04-28 22:43:24,PEDALERA,SDC,BOTS,71.09,-,SDC
2026-04-28 22:43:24,COCKPIT,Sensors,Vel D,29.3,Km/h,Dinàmica
2026-04-28 22:43:24,COCKPIT,Sensors,Vel E,11.93,Km/h,Dinàmica
2026-04-28 22:43:24,COCKPIT,Sensors,Direcció,14.79,º,temperatura
